id,key,value,type
250824588,created_by,JOSM,regular
250824589,created_by,JOSM,regular
250824590,created_by,JOSM,regular
250824591,created_by,JOSM,regular
250824592,created_by,JOSM,regular
250824593,created_by,JOSM,regular
250824594,created_by,JOSM,regular
250824595,created_by,JOSM,regular
250824596,created_by,JOSM,regular
250824597,created_by,JOSM,regular
250824598,created_by,JOSM,regular
250824599,created_by,JOSM,regular
250824600,created_by,JOSM,regular
250824687,created_by,JOSM,regular
250824688,created_by,JOSM,regular
250824689,created_by,JOSM,regular
250824690,created_by,JOSM,regular
250824691,created_by,JOSM,regular
250824692,created_by,JOSM,regular
250824693,created_by,JOSM,regular
250824694,created_by,JOSM,regular
250824695,created_by,JOSM,regular
250824696,created_by,JOSM,regular
250824725,created_by,JOSM,regular
250824726,created_by,JOSM,regular
250824727,created_by,JOSM,regular
250824728,created_by,JOSM,regular
250824729,created_by,JOSM,regular
250824730,created_by,JOSM,regular
250824731,created_by,JOSM,regular
250824732,created_by,JOSM,regular
250824733,created_by,JOSM,regular
250824734,created_by,JOSM,regular
250824735,created_by,JOSM,regular
250824740,created_by,JOSM,regular
250824741,created_by,JOSM,regular
262135162,ref,WKS,regular
262135162,name,烏溪沙 Wu Kai Sha,regular
262135162,subway,yes,regular
262135162,en,Wu Kai Sha,name
262135162,zh,烏溪沙,name
262135162,network,MTR,regular
262135162,railway,stop,regular
262135162,operator,香港鐵路有限公司 MTR Corporation,regular
262135162,public_transport,stop_position,regular
262135171,ref,MOS,regular
262135171,name,馬鞍山 Ma On Shan,regular
262135171,subway,yes,regular
262135171,en,Ma On Shan,name
262135171,zh,馬鞍山,name
262135171,network,MTR,regular
262135171,railway,stop,regular
262135171,operator,香港鐵路有限公司 MTR Corporation,regular
262135171,public_transport,stop_position,regular
266999627,ref,9,regular
266999627,highway,motorway_junction,regular
267000463,highway,motorway_junction,regular
267000486,ref,8,regular
267000486,highway,motorway_junction,regular
267001102,highway,motorway_junction,regular
267001274,highway,motorway_junction,regular
267001520,highway,motorway_junction,regular
267601268,barrier,toll_booth,regular
267601667,name,皇岗收费站,regular
267601667,barrier,toll_booth,regular
267601667,en,Huanggang Toll Gate,name
267601667,zh,皇岗收费站,name
267602001,ref,2270,regular
267602001,highway,motorway_junction,regular
268640726,ref,2868,regular
268640726,highway,motorway_junction,regular
268640759,ref,2864,regular
268640759,highway,motorway_junction,regular
268641931,ref,2868A,regular
268641931,highway,motorway_junction,regular
268641973,ref,2873,regular
268641973,highway,motorway_junction,regular
276924446,ref,2259,regular
276924446,highway,motorway_junction,regular
277045518,amenity,fuel,regular
277049916,barrier,toll_booth,regular
277049983,ref,3B,regular
277049983,highway,motorway_junction,regular
277058099,ref,3647,regular
277058099,highway,motorway_junction,regular
277058109,ref,3649,regular
277058109,highway,motorway_junction,regular
277058156,barrier,toll_booth,regular
277058161,ref,盐田港区 Yantian Port,regular
277058161,highway,motorway_junction,regular
277058502,ref,2,regular
277058502,highway,motorway_junction,regular
277059387,ref,74,regular
277059387,highway,motorway_junction,regular
277059389,barrier,toll_booth,regular
277059406,ref,71,regular
277059406,highway,motorway_junction,regular
277189211,ref,3A/4A,regular
277189211,highway,motorway_junction,regular
277189223,ref,6/7,regular
277189223,highway,motorway_junction,regular
277189240,ref,9/10,regular
277189240,highway,motorway_junction,regular
277485981,barrier,toll_booth,regular
277486160,barrier,toll_booth,regular
277486336,barrier,toll_booth,regular
277486647,highway,crossing,regular
277486647,crossing,zebra,regular
277487754,barrier,toll_booth,regular
277487997,name,中国石化加油站 Sinopec,regular
277487997,brand,中国石化 Sinopec,regular
277487997,amenity,fuel,regular
277487997,en,Sinopec,name
277487997,zh,中国石化加油站,name
277487997,diesel,yes,fuel
277487997,octane_98,yes,fuel
277488027,name,东华假日酒店,regular
277488027,en,DongHua Holiday Inn Hotel,name
277488027,zh,东华假日酒店,name
277488027,tourism,hotel,regular
277501742,name,Tsinghua Experimental School,regular
277501742,amenity,school,regular
277501742,created_by,Potlatch 0.9c,regular
277663187,barrier,toll_booth,regular
277663216,barrier,toll_booth,regular
277665026,name,皇岗收费站,regular
277665026,barrier,toll_booth,regular
277665026,en,Huanggang Toll Gate,name
277665026,zh,皇岗收费站,name
277665229,highway,traffic_signals,regular
277667743,ref,5,regular
277667743,highway,motorway_junction,regular
277667749,ref,4,regular
277667749,highway,motorway_junction,regular
277732472,amenity,fuel,regular
277751266,amenity,studio,regular
277751266,en,Shenzhen TV Tower,name
277752144,name,WalMart,regular
277752144,shop,supermarket,regular
277752144,source,survey,regular
277752288,name,Xixiang Government,regular
277752288,amenity,townhall,regular
277752326,amenity,fuel,regular
277752326,created_by,Potlatch 0.9c,regular
277752513,amenity,fire_station,regular
277752513,created_by,Potlatch 0.9c,regular
277838415,ref,2264,regular
277838415,highway,motorway_junction,regular
277932692,amenity,fuel,regular
277932692,brand,中国石化 Sinopec,regular
277932692,name,壳牌加油站,regular
277932692,en,Shell,name
277932692,zh,壳牌加油站,name
277932692,operator,荷兰皇家壳牌 Royal Dutch Shell plc,regular
277932880,amenity,fuel,regular
277932880,created_by,Potlatch 0.9c,regular
277953439,amenity,fuel,regular
277954661,amenity,fuel,regular
277954661,created_by,Potlatch 0.9c,regular
278040227,en,Shenzhen Bay,name
278040227,created_by,Potlatch 0.9c,regular
278055144,created_by,Potlatch 0.9c,regular
278394216,amenity,fuel,regular
278394216,created_by,Potlatch 0.9c,regular
278394660,amenity,fuel,regular
278870736,highway,traffic_signals,regular
278935292,barrier,toll_booth,regular
279073591,ref,2B,regular
279073591,highway,motorway_junction,regular
279073806,ref,2A,regular
279073806,highway,motorway_junction,regular
279130944,ref,KSR,regular
279130944,name,錦上路 Kam Sheung Road,regular
279130944,subway,yes,regular
279130944,en,Kam Sheung Road,name
279130944,zh,錦上路,name
279130944,railway,stop,regular
279130944,public_transport,stop_position,regular
279244700,barrier,gate,regular
279244979,ref,YUL,regular
279244979,name,元朗 Yuen Long,regular
279244979,subway,yes,regular
279244979,en,Yuen Long,name
279244979,zh,元朗,name
279244979,railway,stop,regular
279244979,public_transport,stop_position,regular
279248191,ref,LOP,regular
279248191,name,朗屏 Long Ping,regular
279248191,subway,yes,regular
279248191,en,Long Ping,name
279248191,zh,朗屏,name
279248191,railway,stop,regular
279248191,public_transport,stop_position,regular
279248202,ref,TIS,regular
279248202,name,天水圍 Tin Shui Wai,regular
279248202,subway,yes,regular
279248202,en,Tin Shui Wai,name
279248202,zh,天水圍,name
279248202,railway,stop,regular
279248202,platforms,2,regular
279248202,public_transport,stop_position,regular
279249033,ref,590,regular
279249033,name,大棠路 Tai Tong Road,regular
279249033,en,Tai Tong Road,name
279249033,zh,大棠路,name
279249033,network,輕鐵 Light Rail,regular
279249033,railway,tram_stop,regular
279249033,operator,香港鐵路有限公司 MTR Corporation,regular
279249033,light_rail,yes,regular
279249033,start_date,1988-09-18,regular
279249033,public_transport,stop_position,regular
279249261,ref,580,regular
279249261,name,康樂路 Hong Lok Road,regular
279249261,en,Hong Lok Road,name
279249261,zh,康樂路,name
279249261,network,輕鐵 Light Rail,regular
279249261,railway,tram_stop,regular
279249261,operator,香港鐵路有限公司 MTR Corporation,regular
279249261,light_rail,yes,regular
279249261,start_date,1988-09-18,regular
279249261,public_transport,stop_position,regular
279249264,ref,570,regular
279249264,name,豐年路 Fung Nin Road,regular
279249264,en,Fung Nin Road,name
279249264,zh,豐年路,name
279249264,network,輕鐵 Light Rail,regular
279249264,railway,tram_stop,regular
279249264,operator,香港鐵路有限公司 MTR Corporation,regular
279249264,light_rail,yes,regular
279249264,start_date,1988-09-18,regular
279249264,public_transport,stop_position,regular
279249514,railway,crossing,regular
279249514,crossing,traffic_signals,regular
279249516,railway,crossing,regular
279249516,crossing,uncontrolled,regular
279249517,ref,560,regular
279249517,name,水邊圍 Shui Pin Wai,regular
279249517,en,Shui Pin Wai,name
279249517,zh,水邊圍,name
279249517,network,輕鐵 Light Rail,regular
